,ZenodoOpenAlex_ID,PersonOpenAlex_ID,PersonName,PersonOrcid
411,W4393683470,A5088126377,Yogendra Verma,0000-0003-3380-6089
412,W4393683470,A5013626934,Khaja Syed,0000-0002-7682-7608
413,W4393683470,A5004265638,Nitzan Kutnowski,0000-0002-3012-4616
414,W4393683470,A5038011560,Gabriella Pangilinan,0000-0003-2662-7883
415,W4393683470,A5035219354,Luke Gilbert,0000-0001-5854-0825
416,W4393683470,A5089305536,Helen Bateup,0000-0002-0135-0972
417,W4393683470,A5034073565,Donald Rio,
418,W4393683470,A5045835078,Dirk Hockemeyer,0000-0002-5598-5092
419,W4393683470,A5070152031,Frank Soldner,0000-0002-7102-8655
420,W4393794406,A5013260183,Marta González-Sepúlveda,0000-0002-5627-847X
421,W4393794406,A5063862942,Joan Compte,0000-0001-5447-5122
422,W4393794406,A5103098387,Thais Cuadros,0000-0001-7376-7470
423,W4393794406,A5021245587,Alba Nicolau,0000-0002-0836-2802
424,W4393794406,A5012546198,Camille Guillard-Sirieix,0000-0002-2645-1892
425,W4393794406,A5088743556,Núria Peñuelas,0000-0001-6443-9790
426,W4393794406,A5090842506,Marina Picón,0000-0002-3629-9804
427,W4393794406,A5057918981,Annabelle Parent,0000-0002-6195-812X
428,W4393794406,A5081551825,Jordi Romero‐Giménez,0000-0002-8459-9895
429,W4393794406,A5002959173,Joana Cladera-Sastre,0000-0002-5680-5057
430,W4393794406,A5022347865,Ariadna Laguna,0000-0002-9732-6677
431,W4393794406,A5059189782,Miquel Vila,0000-0002-1352-989X
432,,,nan,
433,,,nan,
434,W4393785505,A5014618738,Ezra Bruggeman,0000-0001-6100-1443
435,W4367667609,A5053530631,Nicole Polinski,0000-0003-4613-9115
436,W4367667609,A5049620072,Laura Volpicelli‐Daley,0000-0001-8934-4018
437,W4387001202,A5046225091,Louise Uoselis,0000-0001-8538-9817
438,,,nan,
439,W4387228847,A5060842798,Carmela Giachino,0000-0003-3650-8677
440,W4387228847,A5075407827,Cataldo Tirolo,0000-0003-1747-8134
441,W4387228847,A5021181399,Salvatore Caniglia,0000-0002-9416-8458
442,W4387228847,A5030796584,L'Episcopo Francesca,
443,W4387228847,A5074264245,Maria Serapide,0000-0001-6332-4772
444,W4387228847,A5078024953,Federico Bertoli,0000-0001-5600-1190
445,W4387228847,A5062913763,Claudio Giuliano,0000-0002-2329-6372
446,W4387228847,A5003743419,Marika Mearelli,
447,W4387228847,A5050011017,Meike Jakobi,0000-0003-2025-4385
448,W4387228847,A5025026489,Nicole Schneiderhan‐Marra,0000-0001-6785-181X
449,W4387228847,A5057481978,Alfredo Pulvirenti,0000-0002-9764-0295
450,W4387228847,A5056933907,Michela Deleidi,0000-0003-0357-0124
451,W4387228847,A5020938978,Bianca Marchetti,0000-0002-9287-8448
452,,,nan,
453,,,nan,
454,W4393921437,A5012096414,Ali Albalakhi,
